,File,Duration
504,812205003479922.wav,34.98
505,812205003478935.wav,55.26
506,812205003475525.wav,44.7
507,812205003485160.wav,100.5
508,812205003474856.wav,159.96
509,812205003491095.wav,120.24
510,812205003497193.wav,67.14
511,812205003476089.wav,373.2
512,812205003496175.wav,57.6
513,812205003467237.wav,79.32
514,812205003487543.wav,184.5
515,812205003469489.wav,61.44
516,812205003492868.wav,125.1
517,812205003478641.wav,689.52
518,812205003483724.wav,158.58
519,812205003473291.wav,44.16
520,812205003477981.wav,106.38
521,812205003467006.wav,30.0
522,812205003472352.wav,242.04
523,812205003469882.wav,45.36
524,812205003481773.wav,35.4
525,812205003469907.wav,171.06
526,812205003486766.wav,375.12
527,812205003491666.wav,45.18
528,812205003496642.wav,62.4
529,812205003485733.wav,50.82
530,812205003496144.wav,88.14
531,812205003467469.wav,141.72
532,812205003494957.wav,36.3
533,812205003489770.wav,41.76
534,812205003494750.wav,60.54
535,812205003469593.wav,588.84
536,812205003484044.wav,155.76
537,812205003471640.wav,31.44
538,812205003464561.wav,377.64
539,812205003465635.wav,622.2
540,812205003472929.wav,130.74
541,812205003494433.wav,66.0
542,812205003495680.wav,45.3
543,812205003472468.wav,657.96
544,812205003462740.wav,367.44
545,812205003493094.wav,52.68
546,812205003495031.wav,63.18
547,812205003495534.wav,32.04
548,812205003471129.wav,169.38
549,812205003491071.wav,35.52
550,812205003476108.wav,659.28
551,812205003480431.wav,681.18
552,812205003497121.wav,1088.88
553,812205003492923.wav,311.1
554,812205003480970.wav,71.82
555,812205003495106.wav,180.48
556,812205003474469.wav,106.8
557,812205003485627.wav,43.68
558,812205003493214.wav,60.42
559,812205003480949.wav,55.62
560,812205003492276.wav,38.04
561,812205003472193.wav,197.7
562,812205003489594.wav,220.62
563,812205003488029.wav,46.02
564,812205003477202.wav,206.52
565,812205003468126.wav,47.4
566,812205003470559.wav,63.9
567,812205003469524.wav,37.5
568,812205003474797.wav,134.4
569,812205003498013.wav,60.6
570,812205003486212.wav,304.26
571,812205003488648.wav,74.7
572,812205003498019.wav,419.46
573,812205003497934.wav,111.84
574,812205003473261.wav,80.04
575,812205003490911.wav,129.0
576,812205003491862.wav,34.86
577,812205003466654.wav,83.7
578,812205003473541.wav,88.8
579,812205003483652.wav,54.06
580,812205003472103.wav,314.34
581,812205003489730.wav,381.18
582,812205003471287.wav,151.56
583,812205003479273.wav,639.78
